thread_id,message_id,turn_index,speaker_role,message_text,thread_label,type
thread_000000,thread_000000_msg_000,0,caller,"Hello, is this John Smith?",1,ssn
thread_000000,thread_000000_msg_001,1,receiver,"Yes, it is. Who's calling?",1,ssn
thread_000000,thread_000000_msg_002,2,caller,My name is Officer Johnson from the Social Security Administration.,1,ssn
thread_000000,thread_000000_msg_003,3,receiver,"Oh, what can I do for you, Officer Johnson?",1,ssn
thread_000000,thread_000000_msg_004,4,caller,We've been trying to reach you about a serious issue with your social security number.,1,ssn
thread_000000,thread_000000_msg_005,5,receiver,What kind of issue? I'm not aware of anything going on.,1,ssn
thread_000000,thread_000000_msg_006,6,caller,It's been flagged for suspicious activity and we need to verify some information to clear up the matter.,1,ssn
thread_000000,thread_000000_msg_007,7,receiver,"Okay, what information do you need?",1,ssn
thread_000000,thread_000000_msg_008,8,caller,Can you please confirm your social security number for me?,1,ssn
thread_000000,thread_000000_msg_009,9,receiver,"Before I do that, can you tell me more about what's going on? How did my number get flagged?",1,ssn
thread_000000,thread_000000_msg_010,10,caller,"I'm not at liberty to disclose that information over the phone, but I assure you it's a serious matter.",1,ssn
thread_000000,thread_000000_msg_011,11,receiver,I understand. But how do I know you're really from the Social Security Administration? Can you give me a badge number or something?,1,ssn
thread_000000,thread_000000_msg_012,12,caller,"My badge number is 84752. Now, can we please focus on resolving this issue?",1,ssn
thread_000000,thread_000000_msg_013,13,receiver,"Okay, okay. But before I give you my social security number, can you tell me what's going to happen once I confirm it?",1,ssn
thread_000000,thread_000000_msg_014,14,caller,We'll be able to lift the suspension on your account and get everything back to normal.,1,ssn
thread_000000,thread_000000_msg_015,15,receiver,And how long will that take?,1,ssn
thread_000000,thread_000000_msg_016,16,caller,It should only take a few minutes once we verify your information.,1,ssn
thread_000000,thread_000000_msg_017,17,receiver,"That sounds good. But just to be safe, can I call you back at the Social Security Administration to confirm everything?",1,ssn
thread_000000,thread_000000_msg_018,18,caller,I'm afraid that's not possible. We're experiencing high call volumes and our lines are down. You need to work with me right now to resolve this issue.,1,ssn
thread_000000,thread_000000_msg_019,19,receiver,"Okay, let me think about it for a minute. Can you hold?",1,ssn
thread_000001,thread_000001_msg_000,0,caller,"Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number.",1,ssn
thread_000001,thread_000001_msg_001,1,receiver,"Oh, hi Officer Johnson! What's going on? Is everything okay?",1,ssn
thread_000001,thread_000001_msg_002,2,caller,I'm afraid not. Our system shows that your social security number has been compromised and is being used for fraudulent activities.,1,ssn
thread_000001,thread_000001_msg_003,3,receiver,That sounds scary. Can you tell me more about what's happening?,1,ssn
thread_000001,thread_000001_msg_004,4,caller,"Yes, of course. We need to verify some information to resolve this issue. Can you please confirm your social security number for me?",1,ssn
thread_000001,thread_000001_msg_005,5,receiver,"Before I do that, can you tell me how you know my social security number has been compromised? Was it a data breach or something else?",1,ssn
thread_000001,thread_000001_msg_006,6,caller,"Ah, yes... well... we have our ways of monitoring these things. Let's just say we have reason to believe your number is being used illegally.",1,ssn
thread_000001,thread_000001_msg_007,7,receiver,I see. And what exactly do you plan to do to resolve this issue once I give you my social security number?,1,ssn
thread_000001,thread_000001_msg_008,8,caller,We'll be able to freeze the fraudulent activity and issue you a new social security number.,1,ssn
thread_000001,thread_000001_msg_009,9,receiver,That sounds like a big process. How long will it take and will I need to come into an office or something?,1,ssn
thread_000001,thread_000001_msg_010,10,caller,"No, no, it's all done over the phone. It'll only take a few minutes of your time.",1,ssn
thread_000001,thread_000001_msg_011,11,receiver,"Okay... but before I give you my social security number, can you transfer me to your supervisor so I can verify who I'm speaking with?",1,ssn
thread_000001,thread_000001_msg_012,12,caller,"I'm afraid my supervisor is unavailable at the moment. But I assure you, I'm a legitimate officer with the SSA.",1,ssn
thread_000001,thread_000001_msg_013,13,receiver,"Okay, well in that case, can you give me your badge number or some other way to verify your identity?",1,ssn
thread_000001,thread_000001_msg_014,14,caller,"Uh... let me check on that...  Ah, yes... my badge number is 3456.",1,ssn
thread_000001,thread_000001_msg_015,15,receiver,"Okay, I'll go ahead and verify that with the SSA directly. Can you hold for just a minute?",1,ssn
thread_000001,thread_000001_msg_016,16,caller,"Yes, of course... take your time...",1,ssn
thread_000002,thread_000002_msg_000,0,caller,"Hello, is this Mr. Johnson?",1,ssn
thread_000002,thread_000002_msg_001,1,receiver,"Yes, it is. Who's calling?",1,ssn
thread_000002,thread_000002_msg_002,2,caller,My name is Officer James from the Social Security Administration. How are you today?,1,ssn
thread_000002,thread_000002_msg_003,3,receiver,"I'm fine, thank you. What can I do for you?",1,ssn
thread_000002,thread_000002_msg_004,4,caller,We've been trying to reach you about a serious issue with your social security number. It's been suspended due to suspicious activity.,1,ssn
thread_000002,thread_000002_msg_005,5,receiver,Suspended? What kind of activity?,1,ssn
thread_000002,thread_000002_msg_006,6,caller,We've had reports of fraudulent accounts being opened in your name. We need to verify your information to reactivate your number.,1,ssn
thread_000002,thread_000002_msg_007,7,receiver,"Okay, what do I need to do?",1,ssn
thread_000002,thread_000002_msg_008,8,caller,Can you please confirm your social security number for me?,1,ssn
thread_000002,thread_000002_msg_009,9,receiver,"Wait, I'm not comfortable giving that out over the phone. How do I know you're really from the Social Security Administration?",1,ssn
thread_000002,thread_000002_msg_010,10,caller,"Ma'am, I assure you, this is a legitimate call. We're trying to protect your identity. If you don't cooperate, we'll have to send an officer to your location to discuss this further.",1,ssn
thread_000002,thread_000002_msg_011,11,receiver,"Okay, fine. But can you at least give me your badge number or something?",1,ssn
thread_000002,thread_000002_msg_012,12,caller,"My badge number is 34562. Now, can you please confirm your social security number?",1,ssn
thread_000003,thread_000003_msg_000,0,caller,"Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number.",1,ssn
thread_000003,thread_000003_msg_001,1,receiver,"Oh, really? What kind of problem?",1,ssn
thread_000003,thread_000003_msg_002,2,caller,It's been flagged for suspicious activity and we need to verify some information to clear it up.,1,ssn
thread_000003,thread_000003_msg_003,3,receiver,What kind of suspicious activity?,1,ssn
thread_000003,thread_000003_msg_004,4,caller,"I'm not at liberty to disclose that information over the phone, but I can assure you it's a serious matter.",1,ssn
thread_000003,thread_000003_msg_005,5,receiver,"Okay, well what do you need from me to clear it up?",1,ssn
thread_000003,thread_000003_msg_006,6,caller,I just need to confirm your social security number and then we can discuss the next steps.,1,ssn
thread_000003,thread_000003_msg_007,7,receiver,"Before I give you that, can you tell me more about your department and how you're handling this issue?",1,ssn
thread_000003,thread_000003_msg_008,8,caller,We have a special task force dedicated to combating identity theft and fraud. We've had several reports of people in your area being targeted.,1,ssn
thread_000003,thread_000003_msg_009,9,receiver,That sounds serious. Can you give me your badge number so I can verify your identity?,1,ssn
thread_000003,thread_000003_msg_010,10,caller,"Uh, let me check on that real quick. Ah, yes, it's Badge Number 84752.",1,ssn
thread_000003,thread_000003_msg_011,11,receiver,"Okay, I'll go ahead and verify that. But before I do, can you explain why my social security number would be flagged if someone else is committing fraud?",1,ssn
